,business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,categories
351,kRgP3LxO2ugBrC1YpWLncA,"""Bangkok Thai Bar-B-Q""","""13828 N 51st Ave""",Glendale,AZ,85306,33.611520848000005,-112.170486564,4.0,131,1,Restaurants;Asian Fusion;Thai
359,mfQlXkeNhW1vz_1iq63mNQ,"""Del Taco""","""1483 N Dysart Rd""",Avondale,AZ,85323,33.454392999999996,-112.34040759999999,2.5,23,1,Restaurants;Fast Food;Mexican
360,owwKUc2VFUMgRPZFEgrtKA,"""Pho Dam""","""2025 N Dobson Rd""",Chandler,AZ,85224,33.336267600000006,-111.8741442,4.0,17,1,Restaurants;Vietnamese
364,6CpAWkTcqqNtGAfOsPeFUw,"""Arby's""","""17032 N 99th Ave""",Sun City,AZ,85373,33.6392628656,-112.275256168,3.5,9,1,American (Traditional);Restaurants;Sandwiches;Steakhouses;American (New);Fast Food
382,pBoWsom3mZFYo9EucIWRDg,"""Kabuki Sushi & Grill""","""8378 W Thunderbird Rd, Ste 107""",Peoria,AZ,85381,33.6114217,-112.23952050000001,4.0,157,1,Restaurants;Japanese;Sushi Bars
388,7J_8O6w79raFRSORc3bRew,"""AZ Pho & Grill""","""3140 S Gilbert Rd, Ste 1""",Chandler,AZ,85286,33.2606908,-111.7903737,4.0,249,1,Bubble Tea;Restaurants;Food;Vietnamese
392,qB15WElGAlI_eGWjn0kT2w,"""Taco Bell""","""15240 N. 32nd Street""",Phoenix,AZ,85032,33.6259,-112.0136,2.0,18,1,Tex-Mex;Fast Food;Restaurants;Mexican
402,rSCevr5tQJTxPzMIq3n5Gw,"""Yoshi's Asian Grill""","""3800 E Sky Harbor Blvd""",Phoenix,AZ,85034,33.4356207,-112.00954569999999,2.5,14,0,Restaurants;Asian Fusion
408,tCJGEQVqjELLYv3fPNX5Rw,"""Fleming's Prime Steakhouse-Scottsdale""","""20753 N Pima Rd""",Scottsdale,AZ,85255,33.674238,-111.889288,3.5,190,1,Nightlife;Restaurants;Steakhouses;Wine Bars;Bars;Seafood
414,rv9T1qGHbh9eXqFpKEPy_A,"""Sesame Inn Carefree""","""34482 N Scottsdale Rd""",Scottsdale,AZ,85262,33.7983014,-111.9307437,3.5,90,1,Restaurants;Chinese
472,1Nq7GxjvEDgAJxBeOjR_9Q,"""Burrito Express""","""450 N Alma School R""",Mesa,AZ,85201,33.423595399999996,-111.8568585,2.5,92,1,Mexican;Restaurants
478,to2cGMKdaw7ZHbXMzpfhlA,"""Filiberto's Mexican Rest""","""3218 E Mcdowell Rd""",Phoenix,AZ,85008,33.4660114,-112.0123338,3.0,7,0,Restaurants;Mexican
481,X2oxkKB-wlu8xV0P8fbfiQ,"""Mo's Chicken""","""3505 W Thomas Rd""",Phoenix,AZ,85019,33.4800487,-112.13470179999999,3.0,10,1,Restaurants;Chicken Shop
502,-Ut87cwGFsO3444Rd11p0Q,"""Federico's Mexican Food""","""13132 W Camelback Rd""",Litchfield Park,AZ,85340,33.508441,-112.341953,3.5,63,1,Mexican;Restaurants
524,D1E_6MBFKeU2a7EQ4IwoEQ,"""Little Caesars Pizza""","""13011 W Greenway Blvd""",El Mirage,AZ,85335,33.6230548882,-112.33975752,2.5,15,1,Restaurants;Pizza
571,LPq-IOpA_VrZ2xRh1A6Ssw,"""The Saguaro Restaurant""","""4000 North Drinkwater Blvd""",Scottsdale,AZ,85251,33.494121299999996,-111.92276159999999,3.5,10,1,Event Planning & Services;Sandwiches;Restaurants;Nightlife;American (Traditional);Salad;Cocktail Bars;Venues & Event Spaces;Bars
584,0LKcSabd5Gd5oz-qrHTzZg,"""Cin-Cin Restaurant""","""4425 N Buckboard Trl.""",Scottsdale,AZ,85251,33.5012604,-111.92336329999999,3.0,5,0,Lounges;Restaurants;Nightlife;Bars;Italian
597,mZK8IBkMFzOX2UmA7_BylA,"""IHOP""","""935 W Elliot Rd""",Chandler,AZ,85224,33.3493477,-111.8565147,2.5,78,1,American (New);Restaurants;Breakfast & Brunch;American (Traditional)
617,e4tpnasQOzkoIegUg__aiw,"""Dinkey Donkey""","""37636 N Tom Darlington Rd""",Cave Creek,AZ,85331,33.8271931,-111.9237212,4.5,3,0,Delis;Restaurants
636,OlGImeovM5U14T5q5DnVSg,"""Big Wa""","""990 E Riggs Rd""",Chandler,AZ,85249,33.2195026,-111.82471809999998,3.0,4,1,Chinese;Restaurants
641,0s0Xthk1JWrBUu74M81Xyg,"""The Good Egg - Val Vista""","""1939 S Val Vista Dr""",Mesa,AZ,85204,33.380479,-111.7533699,4.0,109,0,American (New);Breakfast & Brunch;Restaurants
708,A029GQG1S3ekPit6cObcBA,"""Curry Garden""","""1533 W Elliot Rd, Ste 101""",Gilbert,AZ,85233,33.3492557,-111.82234409999998,4.0,109,1,Restaurants;Indian;Buffets
797,HQObn6hrV9WoeFObGfa2YQ,"""Mucha Lucha Taco Shop""","""1530 S Val Vista Dr""",Gilbert,AZ,85296,33.322367,-111.756204,4.5,199,1,Restaurants;Tacos;Mexican
805,VqF6Uky7SGfjWitgxrhlJA,"""Little Caesars Pizza""","""6466 S Higley Rd""",Gilbert,AZ,85298,33.2319416609,-111.721218153,4.0,9,1,Pizza;Restaurants
817,S8FDnhP4WKlRhJxSIkcxFg,"""Modern Round""","""8320 W Mariners Way""",Peoria,AZ,85382,33.6290590041,-112.238112817,3.5,130,1,Arts & Entertainment;Virtual Reality Centers;Bars;Restaurants;Arcades;American (New);Food;Nightlife
818,EC7NrIHKk6i3US_XJlDWDA,"""Julio's Too""","""7305 E Camelback Rd""",Scottsdale,AZ,85251,33.501960499999996,-111.92309240000002,4.0,166,1,Restaurants;Mexican
827,vhKUBKcOm8zOLxeS3XM9iA,"""Rosati's Pizza""","""4010 E Bell Rd, Ste 101""",Phoenix,AZ,85032,33.6418473,-111.99557079999998,3.0,67,1,Restaurants;Pizza
831,frCxZS7lPhEnQRJ3UY6m7A,"""La Santisima""","""1919 N 16th St""",Phoenix,AZ,85006,33.469201,-112.047393,4.0,1694,1,Vegetarian;Nightlife;Mexican;Bars;Vegan;Restaurants;Breakfast & Brunch;Cafes
860,mI5UYpuYxjiumMLgANoa9A,"""Filiberto's Mexican Food""","""3636 E. Baseline Rd""",Mesa,AZ,85206,33.379467445,-111.75299406100001,2.5,70,1,Mexican;Restaurants
888,l0WauZ92kRg9bu2oxHj4TQ,"""Aiello's East Coast Italian""","""777 E Thunderbird Rd, Ste 100""",Phoenix,AZ,85022,33.607105,-112.063427,4.0,130,1,Restaurants;Italian
897,M9fOuiesoUSaouOqNQ3U2w,"""Wong's Place""","""1825 E Baseline Rd.""",Tempe,AZ,85283,33.3779385,-111.9062779,4.0,149,0,Chinese;Restaurants
926,IqsQRoiVE535Z2JR-7xoWQ,"""Jack in the Box""","""2145 E University Dr""",Tempe,AZ,85281,33.4217141,-111.89376270000001,2.0,12,1,Restaurants;Fast Food
936,3c6FN1VrCAV4s60PsWTCLA,"""Pho All Seasons""","""1116 S Dobson Rd""",Mesa,AZ,85202,33.3944997,-111.8748402,3.0,14,0,Restaurants;Vietnamese
971,7yTtTjsZLi5Ef1vsr6ZPTw,"""Panera Bread""","""9995 W Mcdowell Rd""",Avondale,AZ,85392,33.4643757587,-112.27427065399999,2.5,75,1,Bakeries;Soup;Sandwiches;Salad;Food;Restaurants
991,ZyIlYBpGnRsLeoEfXo-mxg,"""On The Green Sports Grill""","""801 S Power Rd""",Mesa,AZ,85206,33.3997189,-111.6841436,3.5,36,1,American (New);Restaurants
1020,7Zmxle5A6XTZACIHgiC98Q,"""Kashman's Place""","""23425 N Scottsdale Rd, Ste 6""",Scottsdale,AZ,85250,33.519588,-111.909524,3.5,21,0,Bagels;Delis;Restaurants;Food
1072,jf_h_Y8iNaduXJvpgLRPng,"""Native Grill & Wings""","""2110 S Gilbert Rd""",Chandler,AZ,85286,33.2763316444,-111.790289394,3.0,195,1,Sports Bars;American (New);Chicken Wings;Bars;Restaurants;Nightlife
1074,Yar8jR2a1XA2JuRKfmNDcw,"""Palms Restaurant""","""3502 West Greenway Rd""",Phoenix,AZ,85053,33.6259523,-112.1343378,5.0,3,1,Restaurants;Greek;Mediterranean;Food;Bakeries
1082,OsuBqr2L0-5W8LGAsg-p8g,"""Micky's Hot Dogs""","""108 W Broadway Rd""",Mesa,AZ,85210,33.4080371,-111.83460590000001,4.0,115,1,Fast Food;Restaurants;Mexican;Hot Dogs
1098,aiX_WP7NKPTdF9CfI-M-wg,"""Culinary Dropout""","""149 S Farmer""",Tempe,AZ,85281,33.428533,-111.943955,4.0,984,1,American (New);Restaurants
1107,ObV7olsEsNYjuMGNJ75jNw,"""Vaqueros Carne Asada""","""2602 W Southern Ave""",Tempe,AZ,85282,33.3931502,-111.9762132,3.5,17,1,Mexican;Restaurants
1118,qVQGfHphxolps16v6g5X-g,"""Belfiore's Italian Ristorante""","""15842 N Cave Creek Rd""",Phoenix,AZ,85032,33.6308568,-112.03092439999999,3.5,67,0,Pizza;Italian;Food;Restaurants;Bakeries
1122,RFj91Y9mk2d824QyD9JTzA,"""Firehouse Subs""","""1616 S Stapely Dr, Ste 101""",Mesa,AZ,85204,33.3848304749,-111.80675506600001,3.5,33,1,Fast Food;Delis;Sandwiches;Restaurants
1172,Q9zcPQit3OMWoNRLLK7MQg,"""Chick-fil-A""","""7000 E Mayo Blvd""",Phoenix,AZ,85054,33.65563,-111.927745,3.5,75,1,Event Planning & Services;Caterers;Restaurants;Fast Food
1174,88ntJxZNxRIY8W_hji9pzg,"""Szechwan Palace""","""2386 N Alma School Rd""",Chandler,AZ,85224,33.3401985168,-111.859687805,3.5,86,0,Szechuan;Restaurants;Chinese
1196,SSCH4Z2gw-hh2KZy7aH4qw,"""Worth Takeaway""","""218 W Main St""",Mesa,AZ,85201,33.4154308,-111.8374321,5.0,336,1,Breakfast & Brunch;Sandwiches;American (New);American (Traditional);Restaurants
1208,Jd2NUZeVeyWi1tTNKXMt1Q,"""Sí Señor Restaurant""","""600 N Alma School Rd""",Chandler,AZ,85224,33.3136751,-111.8596581,4.0,398,1,Mexican;Restaurants
1226,TolwZ3L28or4E8SVTZUf6Q,"""Spinato's Pizza""","""1219 E Glendale Ave, Ste 14""",Phoenix,AZ,85020,33.5378713137,-112.055160999,4.0,157,0,Restaurants;Pizza;Sandwiches;Italian
1232,LcmTZeZAE4cb8wFel8JGZg,"""Jimmy John's""","""1120 N Estrella Pkwy, Ste C104""",Goodyear,AZ,85338,33.458980600000004,-112.3930937,2.5,11,1,Food Delivery Services;Food;Restaurants;Sandwiches
1253,TdKJjgiXMPXDamGK-IwFZg,"""Freddy's Frozen Custard & Steakburgers""","""4929 W Bell Rd""",Glendale,AZ,85308,33.6387179265,-112.167251549,4.0,191,1,Diners;Ice Cream & Frozen Yogurt;Food;Restaurants;Burgers;Fast Food
1258,3w66rzZq_rjA1kSmVt5Hew,"""Subway""","""3230 E Union Hills Dr, Ste B-125, Union Centre Shoppes""",Phoenix,AZ,85050,33.6556530143,-112.012032084,3.5,6,1,Sandwiches;Restaurants;Fast Food
1284,woP-omtF0PobX4JxXpZa7Q,"""Ronnie's Cafe""","""4323 W Cactus Rd, Ste 3""",Glendale,AZ,85304,33.5956471,-112.1521774,4.0,278,1,Restaurants;Breakfast & Brunch
1298,VtQxGoCzAFSzCb1JSFV2bQ,"""Subway""","""130 E University Dr, Ste C""",Tempe,AZ,85281,33.421942800000004,-111.94154920000001,3.5,5,0,Sandwiches;Fast Food;Restaurants
1304,9KzLFQrA_tSBGVDNeZrB8Q,"""Nick and Willy's Take & Bake""","""13216 N 7th St""",Phoenix,AZ,85022,33.606054799999995,-112.06639969999999,3.5,3,0,Restaurants;Pizza
1311,6nxVZ1s0mRhyRAdRymYAsQ,"""Ichi Ban Japanese Restaurant""","""9897 W McDowell Rd""",Tolleson,AZ,85353,33.464277,-112.269802,2.0,60,0,Restaurants;Steakhouses;Japanese;Sushi Bars
1338,M7N_LeUEcQTfzaeCgJL5mg,"""Spanish Fly""","""4341 N 75th St""",Scottsdale,AZ,85251,33.4997252,-111.9197955,3.5,55,0,Restaurants;Mexican;Bars;Nightlife
1339,YQFcxE9UXrKc-QuTUu7twQ,"""Loco Patron""","""4228 N Scottsdale Rd""",Scottsdale,AZ,85251,33.4977693,-111.9264149,3.5,327,1,Sports Bars;Mexican;Restaurants;Nightlife;Bars
1352,JlQsOCa-UPw_Gu1MG7jmig,"""Pizza Hut""","""14763 W Cactus Rd, Ste 120""",Surprise,AZ,85379,33.5941776,-112.3780084,1.5,18,1,Restaurants;Chicken Wings;Pizza;Italian
1356,IyVdd_IqwUtzQDTxw2W9qw,"""Saddle Ranch Chop House""","""9375 W Coyotes Blvd""",Glendale,AZ,85305,33.5329519271,-112.260761889,2.5,477,1,Steakhouses;Restaurants;Nightlife;Bars
1366,dhaSDuAoZI0K3hp8aU7otQ,"""Dolce Vino Wine Bar Italian Cuisine""","""4935 W Glendale Ave, Ste 17""",Glendale,AZ,85301,33.5379277,-112.16650279999999,4.5,36,1,Italian;Bars;Restaurants;Nightlife;Wine Bars
1379,Ld2hhA3q3cdkptwS1fsYEg,"""Yogi's Grill""","""2450 W Happy Valley Rd""",Phoenix,AZ,85085,33.714505545,-112.112238407,4.0,80,1,Salad;Noodles;Sushi Bars;Restaurants;Japanese
1387,ddMOhA5QoKByjaHGK8r7xA,"""Legends Sports Club""","""8378 W Thunderbird Rd""",Peoria,AZ,85381,33.6114217,-112.23952050000001,2.0,25,1,Restaurants;Bars;American (Traditional);Chicken Wings;Sports Bars;Nightlife;American (New);Beer Bar;Pubs
1393,_9VQUKCkYWHfUTnxbn4O_A,"""Tom's BBQ""","""1140 S Country Club Dr""",Mesa,AZ,85210,33.3937008292,-111.841277964,3.5,88,1,Event Planning & Services;Barbeque;Caterers;Restaurants
1411,hL3LFrwR1UQ-d0CcYF73Sg,"""Royal Taj""","""6245 W Chandler Blvd, Ste 1""",Chandler,AZ,85226,33.3048389,-111.94901429999999,3.5,8,0,Indian;Restaurants
1419,r0byBoB7y_IH8uicEvyCqQ,"""Rack Shack BBQ""","""1019 E Indian School Rd""",Phoenix,AZ,85014,33.4942339,-112.05974109999998,3.0,5,1,Restaurants;Barbeque
1439,p2OOk46G_AOO0nCWl-eVlg,"""Pei Wei""","""20022 N 67th Ave, Ste 100""",Glendale,AZ,85308,33.666585999999995,-112.203627,3.0,125,1,Gluten-Free;Asian Fusion;Chinese;Restaurants;Fast Food
1460,lWrmZLPvfIFq-ufyJTeNiQ,"""Fat Boys Pizza""","""4040 S Arizona Ave""",Chandler,AZ,85248,33.2464267,-111.8428351,3.5,15,0,Restaurants;Pizza
1471,BVYvfJiVcQTl9B311z518w,"""Peter Piper Pizza""","""3403 N 7th Ave""",Phoenix,AZ,85013,33.4884218,-112.0823702,3.5,27,1,Chicken Wings;Buffets;Restaurants;Pizza
1501,hzMhB8ft6ewaxbZnEcy5pw,"""The Casual Pint""","""1095 West Queen Creek Rd, Ste 8""",Chandler,AZ,85248,33.2613947,-111.86138290000001,4.0,68,1,Bars;Nightlife;Pubs;Beer Bar;American (Traditional);Restaurants;Beer;Wine & Spirits;Food
1521,BWsCjBVMR289vtojIz-gWw,"""Cafe Rio""","""1939 E Baseline Rd""",Gilbert,AZ,85233,33.377308,-111.78908600000001,3.0,242,1,Desserts;Food;Mexican;Restaurants;Salad
1528,9_HgBRUXUg_vKjTT-GSulA,"""Golden Hawaiian BBQ""","""1720 W Southern Ave, Ste C3""",Mesa,AZ,85202,33.393802642800004,-111.868804932,4.0,84,1,Hawaiian;Asian Fusion;Restaurants;Barbeque
1532,aRRV_ZbRiD65SIi7vAY-iA,"""Zest of India""","""3202 E Greenway Rd, Ste 1617""",Phoenix,AZ,85032,33.6264184,-112.01324640000001,1.0,3,1,Restaurants;Indian;Pakistani
1609,RMyK2LpfFDty75HE94XN0Q,"""Positively Frosted""","""7510 E Thomas Rd""",Scottsdale,AZ,85251,33.4816874,-111.91934760000001,5.0,6,1,Desserts;Restaurants;Cupcakes;Vegan;Bakeries;Food Delivery Services;Food;Custom Cakes
1611,yX0pOWG_Be9TjGnm0aihVA,"""Modern  Grove""","""15530 N Tatum Blvd, Ste 160""",Phoenix,AZ,85032,33.6274599302,-111.978455571,3.0,327,0,Restaurants;Breakfast & Brunch;Comfort Food;Beer;Wine & Spirits;Burgers;Vegetarian;American (New);Food
1643,WaTXG26xbOGffSscvyr-wQ,"""Spasso Pizza & Mozzarella Bar""","""4743 N 20th St, Ste A22A""",Phoenix,AZ,85016,33.4483771,-112.07403729999999,3.5,38,0,Pizza;Italian;Restaurants
1653,MatGnwADyILP8utonlTWDg,"""Dave & Buster's""","""9460 W Hanna Ln""",Glendale,AZ,85305,33.5349425,-112.261923,2.0,180,1,Restaurants;Sports Bars;American (Traditional);Nightlife;Arts & Entertainment;Bars;Arcades;Eatertainment
1663,FGaaHr_krwaPGlD0mHPe4Q,"""Matta's Grill and Cantina""","""1033 N Dobson Rd, Ste 101""",Mesa,AZ,85201,33.4351659963,-111.866054535,3.0,148,1,Restaurants;Mexican
1669,ahfAFuFHO9tfFkoBIkVdmg,"""Zabari Mediterranean Grill""","""3831 E Thunderbird Rd, Ste 3""",Phoenix,AZ,85032,33.6113539,-111.99855929999998,4.5,95,1,Middle Eastern;Mediterranean;Restaurants
1689,5F69VFIk-l3THUZX1qeYSg,"""Applebee's Neighborhood Grill & Bar""","""5880 W Peoria Ave""",Glendale,AZ,85302,33.5824983,-112.18573329999998,2.0,70,1,American (Traditional);Sports Bars;Bars;Nightlife;Steakhouses;Restaurants;Burgers
1696,Ycqaz47uwQj6IbOLxlfszA,"""Sbarro Italian Eatery""","""7700 W Arrowhead Towne Ctr""",Glendale,AZ,85308,33.642089399999996,-112.22540670000001,2.0,9,1,Pizza;Salad;Italian;Restaurants
1781,kplbTXzOaUJqP2BwanoYjw,"""Dino's Ristorante""","""15842 N Cave Creek Rd""",Phoenix,AZ,85032,33.630768475,-112.03124173,4.5,38,0,Pizza;Food;Restaurants;Italian;Bakeries
1785,yhcgONZE_flFHrTEM60o3g,"""Barro's Pizza""","""1066 N Power Rd""",Mesa,AZ,85205,33.4359141763,-111.684863082,4.0,10,0,Pizza;Restaurants
1813,UrX0UEejKhHzk158VxlQzA,"""Arizona Polish Festival""","""2828 W Country Gables Dr""",Phoenix,AZ,85053,33.6195640564,-112.119850159,4.0,8,1,Restaurants;Arts & Entertainment;Festivals;Polish
1822,etylBefPKEMjm9nS9c1qiw,"""Port of Subs""","""1342 W Warner Rd""",Tempe,AZ,85284,33.3350123,-111.96195159999998,2.5,36,1,Delis;Sandwiches;Restaurants
1830,TAoN9nsibXOxsOnnG7Kd_g,"""Riazzi's Italian Garden""","""2700 S Mill Ave""",Tempe,AZ,85282,33.3998762,-111.94008249999999,3.5,141,0,Italian;Restaurants
1834,gKqzpzg2MmINROrgWqalOg,"""Bill Johnsons Big Apple""","""16810 N 19th Ave""",Phoenix,AZ,85003,33.6386869,-112.1000291,2.5,52,0,American (Traditional);Restaurants;Barbeque
1835,o3Wj6ohtPnvOJ9l0d_FT9A,"""Golden Star Chinese Food Restaurant""","""10050 W Bell Rd""",Sun City,AZ,85351,33.639636700000004,-112.2758645,2.5,5,0,Restaurants;Chinese
1850,px5RbIZm3rxRzi-g2f83KQ,"""Burger King""","""6402 S Rural Rd""",Tempe,AZ,85283,33.36318060000001,-111.9291133,2.0,24,1,Restaurants;Burgers;Fast Food
1863,RSuT0SK4XpsIAZtdP7Lf3w,"""Pedro's Mexican Restaurant""","""4938 W Glendale Ave""",Glendale,AZ,85301,33.5387191,-112.16628670000001,4.0,170,1,Salad;Restaurants;Mexican;Tacos;Soup
1923,Ndozr_--5-wzyDJ2T7TfpQ,"""A & J Chicago Style Bar-B-Q""","""6102 N 16th St""",Phoenix,AZ,85016,33.525883799999995,-112.047946,3.0,9,0,Barbeque;Restaurants
1931,TwriSG0Gq9vr7n_Re1OR1A,"""The Nile Cafe""","""7051 E McDowell Rd""",Scottsdale,AZ,85257,33.4656052,-111.9292957,4.0,14,0,Mediterranean;Restaurants
1966,IT0IODInyhKbG4a_ka71MQ,"""Oregano's Pizza Bistro""","""37645 Cave Creek Rd""",Cave Creek,AZ,85331,33.827811768400004,-111.95478059999999,3.5,190,1,Pizza;Italian;Restaurants
1994,YjlCXwWr9xx6TnHmTFCKGQ,"""P.F. Chang's""","""6610 E Superstition Springs Blvd""",Mesa,AZ,85206,33.3855705916,-111.68991655100001,3.5,113,1,Gluten-Free;Restaurants;Chinese;Food;Asian Fusion
2010,NihPkBRdA1AixuE_98tIrg,"""Port of Subs""","""635 E Indian School Rd, Ste 102""",Phoenix,AZ,85012,33.4943244,-112.0654164,3.0,31,1,Delis;Sandwiches;Restaurants
2014,E0lP3PXXNae84q_z9MtDMw,"""Tastings Wine Bar and Bistro""","""1809 N Dysart Rd""",Avondale,AZ,85323,33.4680145,-112.34079070000001,2.0,5,0,Nightlife;Bars;Restaurants;Wine Bars
2078,RQdKieW9hqg898d_S2WwRA,"""Yogis Grill""","""1645 E Camelback""",Phoenix,AZ,85016,33.5076828,-112.04596940000002,3.5,87,1,Japanese;Restaurants
2083,HyzHidtQXC4JIULtSbk3NA,"""Bowl of Greens""","""16447 N Scottsdale Rd, Ste 101""",Scottsdale,AZ,85254,33.635464899999995,-111.92372549999999,4.0,99,1,Restaurants;Food;Salad;Juice Bars & Smoothies;Middle Eastern
2090,1hrX1vHaUgllWH6i876oAw,"""Mariachi Estrellas Del Pacífico""","""""",Phoenix,AZ,85001,33.4499672,-112.07022250000001,5.0,4,1,Arts & Entertainment;Musicians;Restaurants;Performing Arts;Mexican;Event Planning & Services
2091,HxWDCU-kKido3ErM31msGQ,"""First Watch - Breakfast, Brunch & Lunch""","""16455 N Scottsdale Rd, Ste 107""",Scottsdale,AZ,85254,33.635340941799996,-111.92254378,4.0,229,1,American (Traditional);Breakfast & Brunch;Restaurants;Cafes
2104,cTJjTKz2huGZ-ElScC2pSw,"""Windsor""","""5223 N Central Ave""",Phoenix,AZ,85012,33.513575,-112.07338100000001,4.0,977,1,American (New);Bars;Food;Pubs;Nightlife;Restaurants;Beer;Wine & Spirits;Breakfast & Brunch
2122,Q47FjaMLjI3v6yo-PHIebQ,"""Cafe Roma""","""110 N Central Ave""",Phoenix,AZ,85004,33.449568,-112.0740163,3.0,5,1,Restaurants;Italian
2131,wPgp3oddFUzpGrQc__HYhg,"""Denny's""","""3971 S Gilbert Rd""",Gilbert,AZ,85297,33.277894818600004,-111.788683534,2.5,81,1,Restaurants;Breakfast & Brunch;American (Traditional);Diners
